[2026-06-02T19:18:22.752Z] GET http://100.104.115.85:8080/api/v1/metrics → pending (?ms, ?B)
[2026-06-02T19:18:22.759Z] GET http://100.104.115.85:8080/api/v1/scheduler/timeline → pending (?ms, ?B)
[2026-06-02T19:18:22.951Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → pending (?ms, ?B)
[2026-06-02T19:18:31.678Z] GET http://100.104.115.85:8080/api/v1/pv/today → pending (?ms, ?B)
[2026-06-02T19:18:42.772Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (56ms, 972B)
[2026-06-02T19:19:02.126Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (50ms, 970B)
[2026-06-02T19:19:22.178Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (75ms, 971B)
[2026-06-02T19:19:41.558Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (55ms, 969B)
[2026-06-02T19:20:00.915Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (88ms, 971B)
[2026-06-02T19:20:21.007Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → pending (?ms, ?B)
[2026-06-02T19:20:40.404Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (71ms, 972B)
[2026-06-02T19:21:00.478Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (51ms, 974B)
[2026-06-02T19:21:19.845Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (60ms, 968B)
[2026-06-02T19:21:39.216Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (45ms, 971B)
[2026-06-02T19:21:59.268Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (55ms, 972B)
[2026-06-02T19:22:18.633Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (59ms, 971B)
[2026-06-02T19:22:38.000Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (56ms, 972B)
[2026-06-02T19:22:58.061Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (63ms, 973B)
[2026-06-02T19:23:16.502Z] GET http://100.104.115.85:8080/api/v1/metrics → pending (?ms, ?B)
[2026-06-02T19:23:16.516Z] GET http://100.104.115.85:8080/api/v1/scheduler/timeline → pending (?ms, ?B)
[2026-06-02T19:23:17.438Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (51ms, 971B)
[2026-06-02T19:23:31.536Z] GET http://100.104.115.85:8080/api/v1/pv/today → pending (?ms, ?B)
[2026-06-02T19:23:37.492Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (68ms, 971B)
[2026-06-02T19:23:56.868Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (55ms, 974B)
[2026-06-02T19:24:16.234Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (56ms, 968B)
[2026-06-02T19:24:36.294Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (68ms, 973B)
[2026-06-02T19:24:55.674Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (60ms, 974B)
[2026-06-02T19:25:15.036Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (54ms, 970B)
